X	Y	DBH	Mortclass
268.406	224.217	44.5217	1	
146.362	193.825	44.4836	1	
273.619	291.18	44.4509	1	
233.551	103.543	44.431	1	
231.877	8.6515	44.3986	2	
136.701	192.445	44.3509	1	
220.193	75.4753	44.0923	2	
269.531	193.364	44.0619	2	
130.451	68.4866	44.0445	1	
76.6623	234.244	44.0217	1	
92.5842	244.62	43.9443	2	
13.6256	33.1098	43.9266	1	
16.8835	246.952	43.7519	1	
7.32144	271.264	43.6647	1	
181.125	113.58	43.6193	2	
188.941	25.9601	43.5574	1	
261.09	175.539	43.5268	1	
197.422	256.896	43.4824	1	
232.25	4.92439	43.4566	1	
126.471	177.335	43.4035	1	
29.6646	215.214	43.3271	2	
186.294	212.53	43.2592	1	
122.976	191.89	43.1594	1	
8.82246	28.8637	43.0368	1	
70.7761	94.0797	42.9361	2	
129.8	205.202	42.6451	1	
76.5289	242.294	42.4763	2	
263.883	289.739	42.3955	1	
8.56028	89.083	42.3939	1	
86.3343	248.043	42.3134	2	
209.65	64.4906	42.2832	2	
135.849	153.259	42.194	1	
157.895	245.518	42.0325	2	
255.228	226.114	42.0133	1	
71.6648	114.291	41.9412	1	
78.1523	98.8545	41.8594	1	
13.5582	145.879	41.8167	2	
245.266	208.596	41.6026	1	
260.36	220.23	41.3933	2	
135.515	264.406	41.2793	1	
97.731	113.064	41.2275	2	
254.724	163.936	41.2167	1	
113.393	195.179	41.213	1	
259.755	165.788	41.1761	1	
121.847	172.493	41.098	1	
51.5885	118.537	40.9825	1	
37.2345	60.9201	40.9041	1	
2.95807	161.251	40.671	1	
239.408	4.99953	40.6157	2	
75.3752	78.4616	40.5646	1	
98.7737	263.151	40.4994	1	
212.856	62.5068	40.4968	1	
297.18	33.1609	40.477	1	
292.503	0.649317	40.4178	2	
242.364	12.1015	40.1345	2	
160.205	249.54	39.926	1	
147.812	172.884	39.8858	1	
108.955	172.418	39.8206	1	
251.792	12.7857	39.7325	2	
160.003	242.058	39.7228	1	
278.848	260.585	39.6546	1	
73.3807	228.558	39.6372	2	
41.9116	228.249	39.4632	1	
171.041	117.091	39.3705	1	
169.926	232.815	39.3156	1	
50.5045	179.638	39.2644	2	
243.186	4.53237	38.4769	2	
246.433	12.3345	38.4205	2	
185.416	46.2182	38.3244	1	
121.957	176.142	38.262	1	
174.813	231.526	38.0993	2	
183.692	252.325	38.0491	1	
261.735	198.446	38.0106	2	
124.277	179.262	37.9613	2	
283.223	259.381	37.7478	2	
141.156	280.341	37.6837	1	
0.358413	40.8595	37.5645	2	
125.363	267.695	37.4789	1	
212.085	209.159	37.4635	1	
163.821	67.1316	37.3589	2	
247.811	153.246	37.1836	1	
17.7736	120.664	37.096	1	
143.393	263.041	37.0597	2	
280.296	291.591	36.8102	1	
71.2502	55.9298	36.7769	2	
93.9511	263.821	36.6961	1	
248.594	146.545	36.6818	2	
175.521	17.5573	36.6211	2	
153.39	264.496	36.5022	1	
82.4398	229.198	36.4556	2	
142.493	204.354	36.2286	1	
234.661	55.1193	36.1911	1	
87.2847	233.872	35.958	2	
132.104	168.734	35.9154	1	
99.5833	217.641	35.8533	1	
87.0648	260.011	35.8523	1	
80.9185	245.867	35.8187	1	
160.142	240.083	35.8122	2	
102.043	257.121	35.6952	1	
116.105	191.625	35.6641	1	
53.9544	19.4755	35.6557	2	
180.356	253.229	35.5515	1	
71.658	293.66	35.5504	1	
56.2874	22.1215	35.5411	1	
59.1884	28.0159	35.5209	1	
83.7808	238.912	35.5191	2	
287.757	237.04	35.519	1	
192.098	156.946	35.5186	1	
50.3291	17.8966	35.3341	2	
135.322	256.581	35.1029	1	
205.161	190.268	34.9236	1	
91.5868	211.417	34.424	2	
296.432	25.6654	34.4006	2	
46.5187	60.6487	34.3588	2	
263.528	13.0132	34.3455	1	
176.853	42.8888	34.3447	1	
109.697	220.44	34.2255	1	
212.235	137.279	34.2225	1	
59.427	14.573	34.1407	1	
127.035	171.354	34.0337	1	
296.339	243.107	33.9316	1	
140.008	157.665	33.7228	1	
51.6543	14.8134	33.6795	1	
0.154013	45.6169	33.531	2	
53.711	207.316	33.4146	2	
164.052	241.345	33.2687	2	
247.694	6.14911	33.2606	1	
54.1677	30.1548	33.1	2	
82.7486	51.4471	32.958	2	
257.556	160.282	32.9372	1	
64.3671	158.877	32.931	1	
67.3628	294.19	32.8114	1	
148.589	202.336	32.8036	1	
96.1915	67.182	32.7358	1	
26.6375	267.172	32.7164	1	
86.2251	226.281	32.4703	1	
130.811	264.994	32.4653	1	
40.9143	278.339	32.4602	1	
152.356	205.833	32.2521	2	
250.769	6.00671	32.2465	2	
89.0653	110.218	32.1289	1	
173.003	256.051	32.0875	1	
235.989	25.8879	32.0429	1	
182.349	127.028	31.9477	1	
43.5354	137.587	31.8551	1	
86.6246	230.375	31.8353	1	
206.022	17.0163	31.8161	2	
153.739	251.005	31.775	1	
25.4412	291.897	31.664	1	
70.1224	111.814	31.6323	1	
22.2605	107.022	31.5378	1	
150.114	253.73	31.4856	1	
121.551	187.858	31.3826	2	
95.4781	255.332	31.3603	1	
163.85	109.541	31.3292	2	
46.6881	19.6705	31.3291	1	
38.5165	230.677	31.021	2	
32.3607	221.808	30.9371	1	
71.3801	5.28565	30.8921	1	
166.861	55.1554	30.8819	1	
290.408	238.98	30.8275	1	
47.4236	15.3758	30.7969	1	
58.2752	110.993	30.7281	1	
89.6677	269.938	30.7177	2	
143.398	245.325	30.6786	1	
129.581	241.977	30.6763	1	
116.121	186.28	30.6187	1	
27.5005	289.098	30.6186	1	
246.368	19.6517	30.533	1	
67.2513	158.3	30.4152	1	
103.103	222.724	30.2479	1	
